time,Voltage min,Shunt current
3.4089,,-1.0
3.413,,-4.0
3.417,,-1.0
3.4211,,4.0
3.4251,,3.0
3.4292,,1.0
3.4332,,-7.0
3.4373,,7.0
3.4413,,7.0
3.4454,,3.0
3.4494,,0.0
3.4535,,-14.0
3.4575,,3.0
3.4616,,4.0
3.4656,,6.0
3.4697,,12.0
3.4737,,-4.0
3.4778,,-4.0
3.4818,,-5.0
3.4859,,10.0
3.4899,,-8.0
3.494,,9.0
3.498,,9.0
3.5021,,5.0
3.5049,3.79,
3.5061,,-3.0
3.5102,,-3.0
3.5142,,1.0
3.5183,,3.0
3.5223,,3.0
3.5264,,4.0
3.5304,,1.0
3.5345,,-3.0
3.5385,,4.0
3.5426,,0.0
3.5466,,-7.0
3.5506,,-6.0
3.5547,,-6.0
3.5587,,4.0
3.5628,,-3.0
3.5668,,2.0
3.5709,,6.0
3.5749,,-1.0
3.579,,6.0
3.583,,-3.0
3.5871,,3.0
3.5911,,-9.0
3.5952,,-5.0
3.5992,,-7.0
3.6033,,-2.0
3.6073,,7.0
3.6114,,0.0
3.6154,,4.0
3.6195,,8.0
3.6235,,-1.0
3.6276,,-9.0
3.6316,,0.0
3.6357,,10.0
3.6397,,0.0
3.6438,,-1.0
3.6478,,1.0
3.6519,,-9.0
3.6559,,4.0
3.66,,1.0
3.664,,3.0
3.6681,,16.0
3.6721,,2.0
3.6762,,6.0
3.6802,,-4.0
3.6843,,1.0
3.6883,,0.0
3.6923,,0.0
3.6964,,13.0
3.7004,,7.0
3.7045,,2.0
3.7085,,11.0
3.7126,,5.0
3.7166,,7.0
3.7207,,11.0
3.7247,,1.0
3.7288,,-3.0
3.7328,,1.0
3.7369,,4.0
3.7409,,-1.0
3.745,,-4.0
3.749,,3.0
3.7531,,-4.0
3.7571,,-3.0
3.7612,,-4.0
3.7652,,-5.0
3.7693,,-1.0
3.7733,,1.0
3.7774,,2.0
3.7814,,0.0
3.7855,,-2.0
3.7895,,14.0
3.7936,,3.0
3.7976,,2.0
3.8017,,-1.0
3.8057,,-6.0
3.8098,,14.0
3.8138,,6.0
3.8179,,-9.0
3.8219,,-3.0
3.826,,4.0
3.83,,7.0
3.8341,,16.0
3.8381,,-4.0
3.8421,,1.0
3.8462,,4.0
3.8502,,0.0
3.8543,,7.0
3.8583,,12.0
3.8624,,-4.0
3.8664,,8.0
3.8705,,1.0
3.8745,,8.0
3.8786,,0.0
3.8826,,-4.0
3.8867,,-2.0
3.8907,,9.0
3.8948,,6.0
3.8988,,6.0
3.9029,,8.0
3.9069,,-11.0
3.911,,1.0
3.915,,3.0
3.9191,,3.0
3.9231,,8.0
3.9272,,8.0
3.9312,,3.0
3.9353,,1.0
3.9393,,1.0
3.9434,,10.0
3.9474,,10.0
3.9515,,10.0
3.9555,,4.0
3.9596,,4.0
3.9636,,3.0
3.9677,,-7.0
3.9717,,14.0
3.9758,,11.0
3.9798,,8.0
3.9839,,13.0
3.9879,,11.0
3.9919,,1.0
3.996,,-9.0
4.0,,4.0
4.0041,,13.0
4.0056,3.79,
4.0081,,6.0
4.0122,,0.0
4.0162,,-2.0
4.0203,,6.0
4.0243,,3.0
4.0284,,-5.0
4.0324,,-1.0
4.0365,,8.0
4.0405,,8.0
4.0446,,1.0
4.0486,,0.0
4.0527,,-6.0
4.0567,,-3.0
4.0608,,-1.0
4.0648,,13.0
4.0689,,0.0
4.0729,,4.0
4.077,,1.0
4.081,,4.0
4.0851,,-3.0
4.0891,,7.0
4.0932,,14.0
4.0972,,3.0
4.1013,,4.0
4.1053,,-10.0
4.1094,,0.0
4.1134,,-4.0
4.1175,,6.0
4.1215,,6.0
4.1256,,1.0
4.1296,,6.0
4.1337,,1.0
4.1377,,-5.0
4.1417,,-5.0
4.1458,,7.0
4.1498,,0.0
4.1539,,3.0
4.1579,,-9.0
4.162,,-10.0
4.166,,20.0
4.1701,,10.0
4.1741,,0.0
4.1782,,0.0
4.1822,,-6.0
4.1863,,4.0
4.1903,,-1.0
4.1944,,1.0
4.1984,,1.0
4.2025,,10.0
4.2065,,-4.0
4.2106,,-1.0
4.2146,,0.0
4.2187,,6.0
4.2227,,3.0
4.2268,,-3.0
4.2308,,6.0
4.2349,,4.0
4.2389,,0.0
4.243,,-4.0
4.247,,-2.0
4.2511,,4.0
4.2551,,-3.0
4.2592,,3.0
4.2632,,9.0
4.2673,,-9.0
4.2713,,1.0
4.2754,,1.0
4.2794,,13.0
4.2834,,-1.0
4.2875,,4.0
4.2915,,16.0
4.2956,,-6.0
4.2996,,0.0
4.3037,,-3.0
4.3077,,-3.0
4.3118,,7.0
4.3158,,5.0
4.3199,,4.0
4.3239,,2.0
4.328,,14.0
4.332,,0.0
4.3361,,11.0
4.3401,,3.0
4.3442,,-10.0
4.3482,,-7.0
4.3523,,-15.0
4.3563,,-15.0
4.3604,,3.0
4.3644,,-1.0
4.3685,,9.0
4.3725,,1.0
4.3766,,1.0
4.3806,,0.0
4.3847,,6.0
4.3887,,0.0
4.3928,,3.0
4.3968,,10.0
4.4009,,5.0
4.4049,,5.0
