time,ACCU_VOLTAGE___min,SHUNT___current,SHUNT___current_counter
1.492,3.92,-1.9,0.0
1.496,3.92,6.04,0.0
1.5,3.92,7.5,0.0
1.504,3.92,3.2,0.0
1.508,3.92,-2.0,0.0
1.512,3.92,0.64,0.0
1.516,3.92,3.16,0.0
1.52,3.92,0.8,0.0
1.524,3.92,-1.38,0.0
1.528,3.92,-0.56,0.0
1.532,3.92,1.66,0.0
1.536,3.92,1.0,0.0
1.54,3.92,-0.8,0.0
1.544,3.92,-3.6,0.0
1.548,3.92,0.0,0.0
1.552,3.92,0.0,0.0
1.556,3.92,1.32,0.0
1.56,3.92,5.6,0.0
1.564,3.92,4.0,0.0
1.568,3.92,3.04,0.0
1.572,3.92,-0.46,0.0
1.576,3.92,7.92,0.0
1.58,3.92,-0.1,0.0
1.584,3.92,-1.8,0.0
1.588,3.92,-9.86,0.0
1.592,3.92,7.72,0.0
1.596,3.92,0.96,0.0
1.6,3.92,-1.0,0.0
1.604,3.92,6.84,0.0
1.608,3.92,7.96,0.0
1.612,3.92,-3.28,0.0
1.616,3.92,-5.84,0.0
1.62,3.92,-6.0,0.0
1.624,3.92,-0.72,0.0
1.628,3.92,-8.6,0.0
1.632,3.92,3.44,0.0
1.636,3.92,-3.84,0.0
1.64,3.92,-2.8,0.0
1.644,3.92,1.12,0.0
1.648,3.92,3.52,0.0
1.652,3.92,-1.18,0.0
1.656,3.92,5.64,0.0
1.66,3.92,6.9,0.0
1.664,3.92,-0.8,0.0
1.668,3.92,-0.04,0.0
1.672,3.92,1.36,0.0
1.676,3.92,0.38,0.0
1.68,3.92,6.0,0.0
1.684,3.92,1.3,0.0
1.688,3.92,-2.2,0.0
1.692,3.92,-0.54,0.0
1.696,3.92,-3.08,0.0
1.7,3.92,-3.5,0.0
1.704,3.92,1.36,0.0
1.708,3.92,0.86,0.0
1.712,3.92,0.4,0.0
1.716,3.92,4.32,0.0
1.72,3.92,1.2,0.0
1.724,3.92,1.9,0.0
1.728,3.92,6.08,0.0
1.732,3.92,9.36,0.0
1.736,3.92,8.16,0.0
1.74,3.92,2.1,0.0
1.744,3.92,7.0,0.0
1.748,3.92,5.7,0.0
1.752,3.92,2.0,0.0
1.756,3.92,-0.86,0.0
1.76,3.92,-7.4,0.0
1.764,3.92,7.0,0.0
1.768,3.92,5.88,0.0
1.772,3.92,0.56,0.0
1.776,3.92,4.36,0.0
1.78,3.92,6.5,0.0
1.784,3.92,2.48,0.0
1.788,3.92,7.52,0.0
1.792,3.92,0.12,0.0
1.796,3.92,3.02,0.0
1.8,3.92,4.0,0.0
1.804,3.92,8.9,0.0
1.808,3.92,-3.48,0.0
1.812,3.92,1.64,0.0
1.816,3.92,-0.76,0.0
1.82,3.92,-0.1,0.0
1.824,3.92,0.0,0.0
1.828,3.92,0.86,0.0
1.832,3.92,0.16,0.0
1.836,3.92,1.64,0.0
1.84,3.92,-0.4,0.0
1.844,3.92,-2.56,0.0
1.848,3.92,0.04,0.0
1.852,3.92,1.0,0.0
1.856,3.92,0.28,0.0
1.86,3.92,2.8,0.0
1.864,3.92,-0.08,0.0
1.868,3.92,5.92,0.0
1.872,3.92,4.88,0.0
1.876,3.92,0.14,0.0
1.88,3.92,-3.4,0.0
1.884,3.92,-0.94,0.0
1.888,3.92,0.88,0.0
1.892,3.92,3.78,0.0
1.896,3.92,4.4,0.0
1.9,3.92,-1.5,0.0
1.904,3.92,-2.6,0.0
1.908,3.92,-0.46,0.0
1.912,3.92,-2.32,0.0
1.916,3.92,-1.48,0.0
1.92,3.92,2.0,0.0
1.924,3.92,-0.28,0.0
1.928,3.92,-0.04,0.0
1.932,3.92,4.28,0.0
